LocationDesc,Class,Topic,Question,Data_Value_Type,Stratification1,Stratification2,target
Maine,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
Vermont,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
Louisiana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
Washington,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"Black, non-Hispanic",1
"United States, DC & Territories",Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Asian/Pacific Islander,0
"United States, DC & Territories",Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Male,1
Louisiana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
West,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Native Am/Alaskan Native,1
Michigan,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Arkansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
Delaware,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
New York,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
Connecticut,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Hispanic,0
Iowa,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Pennsylvania,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
New York,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Male,0
New Mexico,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
Maryland,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"Black, non-Hispanic",0
New Mexico,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
West,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Hispanic,1
District of Columbia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Midwest,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Native Am/Alaskan Native,1
Maine,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Nevada,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Hispanic,1
Oklahoma,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Native Am/Alaskan Native,1
Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
Montana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
California,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Hispanic,1
North Dakota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
West,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Native Am/Alaskan Native,1
Virginia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",0
West Virginia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Male,1
District of Columbia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Texas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Kansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",1
South Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
Tennessee,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Wisconsin,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
South Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"Black, non-Hispanic",0
Michigan,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
Montana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
Massachusetts,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
New Jersey,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",0
Maryland,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Hispanic,0
North Dakota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",0
Mississippi,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"Black, non-Hispanic",0
Pennsylvania,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
West Virginia,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,1
South,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
Maine,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,0
Wisconsin,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
"United States, DC & Territories",Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Michigan,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"Black, non-Hispanic",0
Virginia,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"Black, non-Hispanic",0
Mississippi,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Northeast,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
Washington,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Rhode Island,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
Kansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",1
Kansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Midwest,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",1
Kansas,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Montana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Native Am/Alaskan Native,1
Hawaii,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",0
Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Native Am/Alaskan Native,1
Oregon,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
Minnesota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
New York,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,0
Delaware,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Hispanic,1
South Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Minnesota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Native Am/Alaskan Native,1
Wisconsin,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Montana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Native Am/Alaskan Native,1
North Carolina,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"Black, non-Hispanic",0
Nebraska,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,0
Georgia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
Connecticut,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
South Carolina,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Idaho,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Male,0
Maryland,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"Black, non-Hispanic",0
Missouri,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
New Jersey,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Hispanic,1
Georgia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Female,1
Mississippi,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Washington,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Hispanic,1
New Jersey,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,0
West Virginia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",1
New Mexico,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
Connecticut,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,0
Florida,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Male,0
California,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Hispanic,0
Washington,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
California,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
Nevada,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
North Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Native Am/Alaskan Native,1
Ohio,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
South Dakota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,0
Kansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
New Jersey,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
Oklahoma,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,1
Texas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
Kentucky,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"Black, non-Hispanic",0
Connecticut,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
Delaware,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",0
South Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Utah,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
Alaska,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Massachusetts,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Hispanic,1
Kansas,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
South Dakota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
New Mexico,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
Maryland,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Illinois,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",1
Pennsylvania,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Nebraska,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Hispanic,0
West Virginia,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
Ohio,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
Mississippi,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
"United States, DC & Territories",Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
Minnesota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,0
Puerto Rico,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,1
New Hampshire,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Maine,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Georgia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
South Dakota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Native Am/Alaskan Native,1
Mississippi,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
Illinois,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
Maine,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
Rhode Island,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
West Virginia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Midwest,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Asian/Pacific Islander,0
Florida,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,0
Idaho,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
California,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Utah,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Hispanic,1
Utah,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Alaska,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
New Jersey,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,1
Mississippi,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
Midwest,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Kansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
New Hampshire,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Pennsylvania,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
Louisiana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Female,1
Wisconsin,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
"United States, DC & Territories",Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Native Am/Alaskan Native,1
Oklahoma,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
South Carolina,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
Idaho,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Mississippi,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
South Carolina,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"White, non-Hispanic",0
Alaska,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Illinois,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
Maine,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
South Carolina,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
Oklahoma,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Northeast,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
Hawaii,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
Washington,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Delaware,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Wisconsin,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",1
Alabama,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"Black, non-Hispanic",1
Montana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,0
District of Columbia,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
Mississippi,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"Black, non-Hispanic",1
Nebraska,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,1
Illinois,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Hispanic,1
South,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Northeast,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
Virginia,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Minnesota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Rhode Island,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
Indiana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
Minnesota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
Massachusetts,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,0
Florida,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,1
Missouri,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Tennessee,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Virginia,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"Black, non-Hispanic",0
District of Columbia,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
Utah,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
"United States, DC & Territories",Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
Missouri,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Minnesota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
Kansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
New York,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
Louisiana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
South Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Male,1
Michigan,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"Black, non-Hispanic",1
Idaho,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Indiana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Louisiana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Washington,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Hispanic,0
Kansas,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"White, non-Hispanic",0
Connecticut,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Mississippi,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
California,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Alabama,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,1
Utah,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
Colorado,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,1
North Dakota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Texas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",1
Pennsylvania,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
Colorado,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
Oregon,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
Missouri,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
Nebraska,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
West Virginia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
Northeast,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"Black, non-Hispanic",0
Rhode Island,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Hispanic,1
Georgia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Missouri,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
Rhode Island,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
Minnesota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
New Mexico,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Hispanic,1
West Virginia,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"White, non-Hispanic",1
