model,accuracy,precision,recall,f1_score,roc_auc,average_precision,brier_score
random_forest,0.84375,0.853904282115869,0.8349753694581281,0.8443337484433375,0.9309375859568404,0.9325593083264303,0.1084598161641735
knn,0.825,0.8292079207920792,0.8251231527093597,0.8271604938271605,0.9135180415593508,0.8961475558396881,0.11681122448979592
xgboost,0.84875,0.8589420654911839,0.8399014778325123,0.8493150684931506,0.9275493235978096,0.9281871145896792,0.11106142401695251
hybrid_voting,0.8525,0.8636363636363636,0.8423645320197044,0.8528678304239401,0.9309938486159386,0.9339661100598708,0.1090578693594065
