model,accuracy,precision,recall,f1_score,roc_auc,average_precision,brier_score
random_forest,0.8666666666666667,0.84375,0.9,0.8709677419354839,0.9448938271604939,0.9379398389295672,0.09268953282672104
knn,0.8555555555555555,0.8448275862068966,0.8711111111111111,0.8577680525164114,0.9256469135802471,0.8953869175483428,0.10519274376417233
xgboost,0.8688888888888889,0.8360323886639676,0.9177777777777778,0.875,0.9436444444444444,0.9227278655527348,0.09443464130163193
hybrid_voting,0.8655555555555555,0.837782340862423,0.9066666666666666,0.8708644610458911,0.9461975308641976,0.9354130537190254,0.09217881561143783
