model,accuracy,precision,recall,f1_score,roc_auc,average_precision,brier_score
random_forest,0.8085106382978723,0.8235294117647058,0.7,0.7567567567567568,0.925925925925926,0.9188871621881369,0.11374207682855765
knn,0.7659574468085106,0.7368421052631579,0.7,0.717948717948718,0.8981481481481483,0.8727518095939149,0.1276595744680851
xgboost,0.8085106382978723,0.8235294117647058,0.7,0.7567567567567568,0.9333333333333333,0.9253360805860809,0.11078500002622604
hybrid_voting,0.8085106382978723,0.8235294117647058,0.7,0.7567567567567568,0.937037037037037,0.9283759356585446,0.11029995225802251
