model,accuracy,precision,recall,f1_score,roc_auc,average_precision,brier_score
random_forest,0.7241918665276329,0.6556603773584906,0.7011349306431274,0.6776355880560634,0.788537480734202,0.70068828758634,0.1871245763543069
knn,0.6616266944734098,0.6150159744408946,0.4854981084489281,0.5426356589147286,0.7015468684321143,0.5712039501870128,0.21914834755591495
xgboost,0.7340980187695516,0.6658851113716295,0.7162673392181589,0.6901579586877278,0.8003956844612582,0.7224429275744675,0.1781097948551178
hybrid_voting,0.7330552659019812,0.664327485380117,0.7162673392181589,0.6893203883495146,0.7976763345943674,0.7165731457013357,0.18064336447621104
