model,accuracy,precision,recall,f1_score,roc_auc,average_precision,brier_score
random_forest,0.7714285714285715,0.7272727272727273,0.8888888888888888,0.8,0.8496732026143791,0.8615037969140138,0.16637218007033752
knn,0.6571428571428571,0.875,0.3888888888888889,0.5384615384615384,0.7026143790849673,0.7407268657268657,0.27930029154518954
xgboost,0.8,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.9248366013071896,0.9375686498855836,0.1324625462293625
hybrid_voting,0.7714285714285715,0.7272727272727273,0.8888888888888888,0.8,0.8954248366013071,0.9069730904057531,0.13811586511941593
